scholarship_id,scholarship_name,scope_type,provider,category,country,academic_year,source,source_url,verification_status,notes
SCH011,AICTE Swanath Scholarship - Technical Degree,Central,AICTE,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH012,AICTE Swanath Scholarship - Technical Diploma,Central,AICTE,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH013,"PM YASASVI Top Class Education in College for OBC, EBC and DNT Students",Central,Ministry of Social Justice & Empowerment,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH014,Top Class Education Scholarship for SC Students,Central,Ministry of Social Justice & Empowerment,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH015,National Fellowship and Scholarship for Higher Education of ST Students,Central,Ministry of Tribal Affairs,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH016,Scholarship for Top Class Education for Students with Disabilities,Central,Department of Empowerment of Persons with Disabilities,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH017,Post Matric Scholarship for Students with Disabilities,Central,Department of Empowerment of Persons with Disabilities,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH018,Pre Matric Scholarship for Students with Disabilities,Central,Department of Empowerment of Persons with Disabilities,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH019,National Means-cum-Merit Scholarship,Central,Department of School Education & Literacy,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH020,Financial Assistance to Wards of Beedi/Cine/IOMC/LSDM Workers - Post Matric,Central,Ministry of Labour & Employment,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH021,Financial Assistance to Wards of Beedi/Cine/IOMC/LSDM Workers - Pre Matric,Central,Ministry of Labour & Employment,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH022,Prime Minister's Scholarship Scheme for Central Armed Police Forces and Assam Rifles,Central,Ministry of Home Affairs,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH023,Prime Minister's Scholarship Scheme for Wards of States/UTs Police Personnel Martyred During Terror/Naxal Attacks,Central,Ministry of Home Affairs,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH024,Prime Minister's Scholarship Scheme for Ministry of Railways,Central,Ministry of Railways,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH025,Financial Support to Students of NER for Higher Professional Courses (NEC Merit Scholarship),Central,North Eastern Council,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH026,National Renewable Energy Fellowship Scheme,Central,Ministry of New and Renewable Energy,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH027,Stipend Scheme for UG/PG Studies in Indian Statistical Institute,Central,Ministry of Statistics & Programme Implementation,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH028,ICAR Junior Research Fellowship,Central,ICAR,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH029,ICAR Senior Research Fellowship,Central,ICAR,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH030,Free Coaching for SC/OBC and PM CARES Children Scheme Beneficiaries,Central,Ministry of Social Justice & Empowerment,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Official scheme listed on NSP/UGC source,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH031,Andhra Pradesh State Post-Matric Scholarship,State,Government of Andhra Pradesh,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH032,Andhra Pradesh State Pre-Matric Scholarship,State,Government of Andhra Pradesh,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH033,Andhra Pradesh State Merit Scholarship,State,Government of Andhra Pradesh,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH034,Andhra Pradesh State Minority Scholarship,State,Government of Andhra Pradesh,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH035,Arunachal Pradesh State Post-Matric Scholarship,State,Government of Arunachal Pradesh,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH036,Arunachal Pradesh State Pre-Matric Scholarship,State,Government of Arunachal Pradesh,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH037,Arunachal Pradesh State Merit Scholarship,State,Government of Arunachal Pradesh,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH038,Arunachal Pradesh State Minority Scholarship,State,Government of Arunachal Pradesh,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH039,Assam State Post-Matric Scholarship,State,Government of Assam,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH040,Assam State Pre-Matric Scholarship,State,Government of Assam,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH041,Assam State Merit Scholarship,State,Government of Assam,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH042,Assam State Minority Scholarship,State,Government of Assam,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH043,Bihar State Post-Matric Scholarship,State,Government of Bihar,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH044,Bihar State Pre-Matric Scholarship,State,Government of Bihar,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH045,Bihar State Merit Scholarship,State,Government of Bihar,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH046,Bihar State Minority Scholarship,State,Government of Bihar,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH047,Chhattisgarh State Post-Matric Scholarship,State,Government of Chhattisgarh,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH048,Chhattisgarh State Pre-Matric Scholarship,State,Government of Chhattisgarh,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH049,Chhattisgarh State Merit Scholarship,State,Government of Chhattisgarh,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH050,Chhattisgarh State Minority Scholarship,State,Government of Chhattisgarh,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH051,Goa State Post-Matric Scholarship,State,Government of Goa,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH052,Goa State Pre-Matric Scholarship,State,Government of Goa,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH053,Goa State Merit Scholarship,State,Government of Goa,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH054,Goa State Minority Scholarship,State,Government of Goa,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH055,Gujarat State Post-Matric Scholarship,State,Government of Gujarat,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH056,Gujarat State Pre-Matric Scholarship,State,Government of Gujarat,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH057,Gujarat State Merit Scholarship,State,Government of Gujarat,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH058,Gujarat State Minority Scholarship,State,Government of Gujarat,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH059,Haryana State Post-Matric Scholarship,State,Government of Haryana,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH060,Haryana State Pre-Matric Scholarship,State,Government of Haryana,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH061,Haryana State Merit Scholarship,State,Government of Haryana,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH062,Haryana State Minority Scholarship,State,Government of Haryana,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH063,Himachal Pradesh State Post-Matric Scholarship,State,Government of Himachal Pradesh,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH064,Himachal Pradesh State Pre-Matric Scholarship,State,Government of Himachal Pradesh,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH065,Himachal Pradesh State Merit Scholarship,State,Government of Himachal Pradesh,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH066,Himachal Pradesh State Minority Scholarship,State,Government of Himachal Pradesh,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH067,Jharkhand State Post-Matric Scholarship,State,Government of Jharkhand,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH068,Jharkhand State Pre-Matric Scholarship,State,Government of Jharkhand,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH069,Jharkhand State Merit Scholarship,State,Government of Jharkhand,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH070,Jharkhand State Minority Scholarship,State,Government of Jharkhand,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH071,Karnataka State Post-Matric Scholarship,State,Government of Karnataka,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH072,Karnataka State Pre-Matric Scholarship,State,Government of Karnataka,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH073,Karnataka State Merit Scholarship,State,Government of Karnataka,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH074,Karnataka State Minority Scholarship,State,Government of Karnataka,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH075,Kerala State Post-Matric Scholarship,State,Government of Kerala,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH076,Kerala State Pre-Matric Scholarship,State,Government of Kerala,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH077,Kerala State Merit Scholarship,State,Government of Kerala,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH078,Kerala State Minority Scholarship,State,Government of Kerala,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH079,Madhya Pradesh State Post-Matric Scholarship,State,Government of Madhya Pradesh,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH080,Madhya Pradesh State Pre-Matric Scholarship,State,Government of Madhya Pradesh,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH081,Madhya Pradesh State Merit Scholarship,State,Government of Madhya Pradesh,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH082,Madhya Pradesh State Minority Scholarship,State,Government of Madhya Pradesh,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH083,Maharashtra State Post-Matric Scholarship,State,Government of Maharashtra,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH084,Maharashtra State Pre-Matric Scholarship,State,Government of Maharashtra,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH085,Maharashtra State Merit Scholarship,State,Government of Maharashtra,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH086,Maharashtra State Minority Scholarship,State,Government of Maharashtra,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH087,Manipur State Post-Matric Scholarship,State,Government of Manipur,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH088,Manipur State Pre-Matric Scholarship,State,Government of Manipur,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH089,Manipur State Merit Scholarship,State,Government of Manipur,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH090,Manipur State Minority Scholarship,State,Government of Manipur,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH091,Meghalaya State Post-Matric Scholarship,State,Government of Meghalaya,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH092,Meghalaya State Pre-Matric Scholarship,State,Government of Meghalaya,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH093,Meghalaya State Merit Scholarship,State,Government of Meghalaya,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH094,Meghalaya State Minority Scholarship,State,Government of Meghalaya,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH095,Mizoram State Post-Matric Scholarship,State,Government of Mizoram,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH096,Mizoram State Pre-Matric Scholarship,State,Government of Mizoram,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH097,Mizoram State Merit Scholarship,State,Government of Mizoram,Merit,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH098,Mizoram State Minority Scholarship,State,Government of Mizoram,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
SCH099,Nagaland State Post-Matric Scholarship,State,Government of Nagaland,Welfare,India,2026-27,National Scholarship Portal / UGC / state or institution category,https://scholarships.gov.in/All-Scholarships,Prototype state-category record; verify current state scheme name and portal,"Eligibility, amount, deadlines and participating institutions vary. Verify before production use."
